"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000111728",-0.361778679104821,1.96854429247928,-3.34401541522698,0.000922540931938305,0.00516972910697461,-1.01242514412291,"ST8SIA1","6489","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1","Not Significant"
"ENSG00000128699",-0.108404132091132,5.71380929728023,-3.34377500782577,0.00092331375218056,0.00517267787179147,-1.37083574142314,"ORMDL1","94101","ORMDL sphingolipid biosynthesis regulator 1","Not Significant"
"ENSG00000088888",0.172398546030424,5.89804266082823,3.3432815340999,0.000924901974861949,0.00518019196868608,-1.37576583967931,"MAVS","57506","mitochondrial antiviral signaling protein","Not Significant"
"ENSG00000179840",-0.496005106457519,-0.688875295346935,-3.34270341210042,0.00092676586885432,0.0051892456217884,-0.829169151499898,"PIK3CD-AS1","644997","PIK3CD antisense RNA 1","Not Significant"
"ENSG00000259347",-0.405365202934217,0.869435382939683,-3.34258477581357,0.000927148790235341,0.00519000423677243,-0.95509451582862,NA,NA,NA,"Not Significant"
"ENSG00000197381",-0.230772935282996,3.20862825842595,-3.34203669705733,0.00092891973213585,0.00519853025121384,-1.15395412379274,"ADARB1","104","adenosine deaminase RNA specific B1","Not Significant"
"ENSG00000184500",0.192219108334519,5.18030688872993,3.34117249058665,0.000931718537746033,0.00521280243510884,-1.35769558933661,"PROS1","5627","protein S","Not Significant"
"ENSG00000225377",0.185024525965466,0.181054781140492,3.34061375565334,0.000933532223627149,0.00522155690415452,-0.887224475177337,"NRSN2-AS1","100507459","NRSN2 antisense RNA 1","Not Significant"
"ENSG00000103342",0.105832103185535,6.47024869882212,3.34052320971963,0.000933826450188786,0.00522181012868829,-1.38209656175168,"GSPT1","2935","G1 to S phase transition 1","Not Significant"
"ENSG00000177570",0.115109750287107,5.33784172008882,3.34041913467965,0.000934164745834771,0.00522230957992653,-1.3670976506001,"SAMD12","401474","sterile alpha motif domain containing 12","Not Significant"
"ENSG00000082213",0.114591518359173,4.44749465559126,3.3398078999645,0.000936153865969401,0.00523064127296436,-1.30070655890502,"C5orf22","55322","chromosome 5 open reading frame 22","Not Significant"
"ENSG00000088356",0.132697105593002,3.41399177449773,3.33983516818927,0.000936065043979129,0.00523064127296436,-1.17889180531933,"PDRG1","81572","p53 and DNA damage regulated 1","Not Significant"
"ENSG00000186020",-0.115871658594477,3.8387441123913,-3.33968967842734,0.000936539044929077,0.00523139985815909,-1.23800519078946,"ZNF529","57711","zinc finger protein 529","Not Significant"
"ENSG00000260306",-0.334548116121435,-0.929303245372209,-3.33912553295233,0.000938379126035726,0.00524028279249184,-0.827102023913311,NA,NA,NA,"Not Significant"
"ENSG00000229531",-0.276184960792321,-0.4945952264156,-3.33874591923305,0.000939619210641368,0.00524581127048248,-0.854448391660061,"RABGAP1L-AS1","101928696","RABGAP1L antisense RNA 1","Not Significant"
"ENSG00000169075",-0.414939031265462,-0.888966445011041,-3.33792748725831,0.000942297974046608,0.0052593666859041,-0.831375532485711,NA,NA,NA,"Not Significant"
"ENSG00000131462",0.141802051495965,3.2086405439643,3.33733383084701,0.00094424548287529,0.00526883453134057,-1.16174960785707,"TUBG1","7283","tubulin gamma 1","Not Significant"
"ENSG00000230438",-0.515800825037489,-0.642518901807059,-3.3371695874633,0.000944784949706973,0.00527044263832547,-0.846536846586879,NA,NA,NA,"Not Significant"
"ENSG00000213216",-0.283484006500862,-0.984128233172951,-3.33649686107715,0.000946997552988887,0.00528138092899279,-0.829802654009872,NA,NA,NA,"Not Significant"
"ENSG00000261529",-0.197283367979374,0.771653115433876,-3.33598903275455,0.000948670998025495,0.00528930733215969,-0.947973106523269,NA,NA,NA,"Not Significant"
"ENSG00000079462",0.142177802684377,2.93769450543429,3.33573567408476,0.000949506918612252,0.00529256115277491,-1.1371229026139,"PAFAH1B3","5050","platelet activating factor acetylhydrolase 1b catalytic subunit 3","Not Significant"
"ENSG00000179256",-0.338389640020099,-1.69581403582938,-3.33550260402521,0.00095027650509861,0.00529403710343781,-0.814811052630115,"SMCO3","440087","single-pass membrane protein with coiled-coil domains 3","Not Significant"
